Time;Sec;Object Name;Status;Value
9:47:54;227;TIC Gauge 1;11;12.187
9:47:54;227;TIC Gauge 2;5;9900000000
9:47:54;227;TIC Gauge 3;5;9900000000
9:47:56;229;TIC Turbo Speed;;1.6
9:47:56;229;TIC Turbo Power;;6.8
9:47:56;229;TIC Gauge 1;11;12.113
9:47:56;229;TIC Gauge 2;5;9900000000
9:47:56;229;TIC Gauge 3;5;9900000000
9:47:58;231;TIC Turbo Speed;;1.6
9:47:58;231;TIC Turbo Power;;8
9:47:58;231;TIC Gauge 1;11;12.028
9:47:58;231;TIC Gauge 2;5;9900000000
9:47:58;231;TIC Gauge 3;5;9900000000
9:48:00;233;TIC Turbo Speed;;1.6
9:48:00;233;TIC Turbo Power;;8.4
9:48:00;233;TIC Gauge 1;11;11.988
9:48:00;233;TIC Gauge 2;5;9900000000
9:48:00;233;TIC Gauge 3;5;9900000000
9:48:02;235;TIC Turbo Speed;;1.6
9:48:02;235;TIC Turbo Power;;8.2
9:48:02;235;TIC Gauge 1;11;11.956
9:48:02;235;TIC Gauge 2;5;9900000000
9:48:02;235;TIC Gauge 3;5;9900000000
9:48:04;237;TIC Turbo Speed;;1.6
